[0.291s] Invoking command in '/home/bok/multitb_ws/build/turtlebot3_multi_robot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/bok/multitb_ws/install/get_data:/home/bok/ws_urdf/install/urdf_tutorial:/home/bok/ws_urdf/install/car_tutorial:/home/bok/turtlebot3_ws/install/turtlebot3_teleop:/home/bok/turtlebot3_ws/install/turtlebot3_example:/home/bok/baby_ws/install/bossbaby:/opt/ros/humble /usr/bin/cmake /home/bok/multitb_ws/src/turtlebot3_multi_robot -DCMAKE_INSTALL_PREFIX=/home/bok/multitb_ws/install/turtlebot3_multi_robot
[0.305s] -- Found ament_cmake: 1.3.10 (/opt/ros/humble/share/ament_cmake/cmake)
[0.463s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.560s] -- Configuring done
[0.564s] -- Generating done
[0.565s] -- Build files have been written to: /home/bok/multitb_ws/build/turtlebot3_multi_robot
[0.572s] Invoked command in '/home/bok/multitb_ws/build/turtlebot3_multi_robot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/bok/multitb_ws/install/get_data:/home/bok/ws_urdf/install/urdf_tutorial:/home/bok/ws_urdf/install/car_tutorial:/home/bok/turtlebot3_ws/install/turtlebot3_teleop:/home/bok/turtlebot3_ws/install/turtlebot3_example:/home/bok/baby_ws/install/bossbaby:/opt/ros/humble /usr/bin/cmake /home/bok/multitb_ws/src/turtlebot3_multi_robot -DCMAKE_INSTALL_PREFIX=/home/bok/multitb_ws/install/turtlebot3_multi_robot
[0.573s] Invoking command in '/home/bok/multitb_ws/build/turtlebot3_multi_robot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/bok/multitb_ws/install/get_data:/home/bok/ws_urdf/install/urdf_tutorial:/home/bok/ws_urdf/install/car_tutorial:/home/bok/turtlebot3_ws/install/turtlebot3_teleop:/home/bok/turtlebot3_ws/install/turtlebot3_example:/home/bok/baby_ws/install/bossbaby:/opt/ros/humble /usr/bin/cmake --build /home/bok/multitb_ws/build/turtlebot3_multi_robot -- -j4 -l4
[0.615s] Invoked command in '/home/bok/multitb_ws/build/turtlebot3_multi_robot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/bok/multitb_ws/install/get_data:/home/bok/ws_urdf/install/urdf_tutorial:/home/bok/ws_urdf/install/car_tutorial:/home/bok/turtlebot3_ws/install/turtlebot3_teleop:/home/bok/turtlebot3_ws/install/turtlebot3_example:/home/bok/baby_ws/install/bossbaby:/opt/ros/humble /usr/bin/cmake --build /home/bok/multitb_ws/build/turtlebot3_multi_robot -- -j4 -l4
[0.656s] Invoking command in '/home/bok/multitb_ws/build/turtlebot3_multi_robot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/bok/multitb_ws/install/get_data:/home/bok/ws_urdf/install/urdf_tutorial:/home/bok/ws_urdf/install/car_tutorial:/home/bok/turtlebot3_ws/install/turtlebot3_teleop:/home/bok/turtlebot3_ws/install/turtlebot3_example:/home/bok/baby_ws/install/bossbaby:/opt/ros/humble /usr/bin/cmake --install /home/bok/multitb_ws/build/turtlebot3_multi_robot
[0.664s] -- Install configuration: ""
[0.670s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//models/turtlebot3_waffle/model.sdf
[0.670s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//models/turtlebot3_waffle/model_nocamera.sdf
[0.670s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//rviz/multi_nav2_default_view.rviz
[0.670s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//rviz/nav2_default_view.rviz
[0.671s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//urdf/common_properties.urdf
[0.671s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//urdf/turtlebot3_burger.urdf
[0.671s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//urdf/turtlebot3_waffle.urdf
[0.671s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//worlds/miro.world
[0.671s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//worlds/multi_empty_world.world
[0.672s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//worlds/multi_robot_world.world
[0.672s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot//params/nav2_params.yaml
[0.672s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/environment/multi_robot.dsv
[0.672s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/ament_index/resource_index/package_run_dependencies/turtlebot3_multi_robot
[0.673s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/ament_index/resource_index/parent_prefix_path/turtlebot3_multi_robot
[0.673s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/environment/ament_prefix_path.sh
[0.673s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/environment/ament_prefix_path.dsv
[0.674s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/environment/path.sh
[0.674s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/environment/path.dsv
[0.674s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/local_setup.bash
[0.674s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/local_setup.sh
[0.675s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/local_setup.zsh
[0.675s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/local_setup.dsv
[0.675s] -- Symlinking: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/package.dsv
[0.690s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/ament_index/resource_index/packages/turtlebot3_multi_robot
[0.690s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/cmake/turtlebot3_multi_robotConfig.cmake
[0.690s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/cmake/turtlebot3_multi_robotConfig-version.cmake
[0.690s] -- Up-to-date symlink: /home/bok/multitb_ws/install/turtlebot3_multi_robot/share/turtlebot3_multi_robot/package.xml
[0.693s] Invoked command in '/home/bok/multitb_ws/build/turtlebot3_multi_robot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/bok/multitb_ws/install/get_data:/home/bok/ws_urdf/install/urdf_tutorial:/home/bok/ws_urdf/install/car_tutorial:/home/bok/turtlebot3_ws/install/turtlebot3_teleop:/home/bok/turtlebot3_ws/install/turtlebot3_example:/home/bok/baby_ws/install/bossbaby:/opt/ros/humble /usr/bin/cmake --install /home/bok/multitb_ws/build/turtlebot3_multi_robot
